Row ID,Order ID,Order Date,Order Priority,Order Quantity,Sales,Discount,Ship Mode,Profit,Unit Price,Shipping Cost,Customer Name,City,Zip Code,State,Region,Customer Segment,Product Category,Product Sub-Category,Product Name,Product Container,Product Base Margin,Ship Date,Year,Month,Month Name,Quarter,Shipping Days,Profit Margin %,Year-Month
1,3,2013-10-12,Low,6,261.54,0.04,Regular Air,-213.25,38.94,35.0,Muhammed MacIntyre,Highland Park,60035,Illinois,Central,Small Business,Office Supplies,Storage & Organization,"Eldon Base for stackable storage shelf, platinum",Large Box,0.8,2013-10-19,2013,10,October,Q4,7,-81.53628508067598,2013-10
2,6,2015-02-19,Not Specified,2,6.93,0.01,Regular Air,-4.64,2.08,2.56,Ruben Dartt,Edmonds,98026,Washington,West,Corporate,Office Supplies,"Scissors, Rulers and Trimmers",Kleencut® Forged Office Shears by Acme United Corporation,Small Pack,0.55,2015-02-20,2015,2,February,Q1,1,-66.95526695526695,2015-02
3,32,2014-07-14,High,26,2808.08,0.07,Regular Air,1054.82,107.53,5.81,Liz Pelletier,Elk Plain,98387,Washington,West,Corporate,Furniture,Office Furnishings,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",Medium Box,0.65,2014-07-16,2014,7,July,Q3,2,37.56374462266032,2014-07
4,32,2014-07-14,High,24,1761.4,0.09,Delivery Truck,-1748.56,70.89,89.3,Liz Pelletier,Elk Plain,98387,Washington,West,Corporate,Furniture,Tables,KI Conference Tables,Jumbo Box,0.72,2014-07-15,2014,7,July,Q3,1,-99.271034404451,2014-07
5,32,2014-07-14,High,23,160.2335,0.04,Regular Air,-85.129,7.99,5.03,Liz Pelletier,Elk Plain,98387,Washington,West,Corporate,Technology,Telephones and Communication,Bell Sonecor JB700 Caller ID,Medium Box,0.6,2014-07-16,2014,7,July,Q3,2,-53.1280911919168,2014-07
6,32,2014-07-14,High,15,140.56,0.04,Regular Air,-128.38,8.46,8.99,Liz Pelletier,High Point,27260,North Carolina,South,Corporate,Technology,Computer Peripherals,"Imation 3.5 IBM Diskettes, 10/Box",Small Pack,0.79,2014-07-15,2014,7,July,Q3,1,-91.33466135458167,2014-07
7,35,2014-10-21,Not Specified,30,288.56,0.03,Regular Air,60.72,9.11,2.25,Julie Creighton,Ames,50010,Iowa,Central,Corporate,Office Supplies,Pens & Art Supplies,Dixon Ticonderoga Core-Lock Colored Pencils,Wrap Bag,0.52,2014-10-22,2014,10,October,Q4,1,21.042417521485998,2014-10
8,35,2014-10-21,Not Specified,14,1892.848,0.01,Regular Air,48.987,155.99,8.99,Julie Creighton,Ames,50010,Iowa,Central,Corporate,Technology,Telephones and Communication,CF 688,Small Box,0.58,2014-10-23,2014,10,October,Q4,2,2.5880049533824163,2014-10
9,36,2014-11-01,Critical,46,2484.7455,0.1,Regular Air,657.477,65.99,4.2,Sample Company A,Albany,97321,Oregon,West,Home Office,Technology,Telephones and Communication,6162i,Small Box,0.55,2014-11-01,2014,11,November,Q4,0,26.460536904081323,2014-11
10,65,2014-03-16,Critical,32,3812.73,0.02,Regular Air,1470.3,115.79,1.99,Tamara Dahlen,Pflugerville,78660,Texas,Central,Corporate,Technology,Computer Peripherals,"Verbatim DVD-R, 4.7GB, Spindle, WE, Blank, Ink Jet/Thermal, 20/Spindle",Small Pack,0.49,2014-03-17,2014,3,March,Q1,1,38.56291948289021,2014-03
